"","cluster0","cluster1","cluster11","cluster13","cluster2","cluster3","cluster4","cluster6","cluster7","cluster8"
"cluster0",0.000589342327295262,0,0,0,0,0,0,0,0,0
"cluster1",0,0.000101513467873864,0,0,0,0,0,0,0,0
"cluster11",0,0,0,0,0,0,0,0,0,0
"cluster13",0,0,0,0,0,0,0,0,0,0
"cluster2",0,0,0,0,0.000214592588258309,0,0.000103629969364946,0,0,0
"cluster3",0,0,0,0,0,0,0,0,0,0
"cluster4",0,0,0,0,2.63185687424157e-05,0,7.43596227884292e-05,0,0,0
"cluster6",0,0,0,0,0,0,0,0,0,0
"cluster7",0,0,0,0,0,0,0,0,0,0
"cluster8",0,0,0,0,0,0,0,0,0,0
